--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
demo_image/demo_1.png    	available                	0.9999
demo_image/demo_2.jpg    	shakeshack               	0.9530
demo_image/demo_3.png    	london                   	0.9840
demo_image/demo_4.png    	greenstead               	0.9985
demo_image/demo_5.png    	toast                    	0.9961
demo_image/demo_6.png    	merry                    	0.9975
demo_image/demo_7.png    	underground              	1.0000
demo_image/demo_8.jpg    	ronaldo                  	0.8387
demo_image/demo_9.jpg    	bally                    	0.7493
demo_image/demo_10.jpg   	university               	0.9998
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
demo_image/demo_1.png    	available                	0.9999
demo_image/demo_2.jpg    	shakeshack               	0.9530
demo_image/demo_3.png    	london                   	0.9840
demo_image/demo_4.png    	greenstead               	0.9985
demo_image/demo_5.png    	toast                    	0.9961
demo_image/demo_6.png    	merry                    	0.9975
demo_image/demo_7.png    	underground              	1.0000
demo_image/demo_8.jpg    	ronaldo                  	0.8387
demo_image/demo_9.jpg    	bally                    	0.7493
demo_image/demo_10.jpg   	university               	0.9998
demo_image/demo_11.png   	spenscand                	0.0000
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
.\data\test\stack_0072_0.png	4m                       	0.8889
.\data\test\stack_0072_1.png	2ds52                    	0.7237
.\data\test\stack_0072_2.png	2n                       	0.2586
.\data\test\stack_0073_0.png	of                       	0.5861
.\data\test\stack_0073_1.png	2ds52                    	0.9105
.\data\test\stack_0074_0.png	sls21352                 	0.0097
.\data\test\stack_0074_1.png	205                      	0.1562
.\data\test\stack_0075_0.png	2ds52                    	0.8414
.\data\test\stack_0075_1.png	20                       	0.2326
.\data\test\stack_0076_0.png	2ds52                    	0.5799
.\data\test\stack_0076_1.png	lam                      	0.0747
.\data\test\stack_0076_2.png	hmbs                     	0.0815
.\data\test\stack_0076_3.png	20                       	0.4503
.\data\test\stack_0077_0.png	2ds52                    	0.5955
.\data\test\stack_0077_1.png	biz                      	0.1160
.\data\test\stack_0077_2.png	mors                     	0.0317
.\data\test\stack_0078_0.png	2ds52                    	0.1792
.\data\test\stack_0078_1.png	of                       	0.1360
.\data\test\stack_0078_2.png	6233                     	0.3736
.\data\test\stack_0078_3.png	hmow                     	0.1379
.\data\test\stack_0078_4.png	20                       	0.1533
.\data\test\stack_0079_0.png	the                      	0.3000
.\data\test\stack_0079_1.png	2ds52                    	0.3650
.\data\test\stack_0079_2.png	23                       	0.9995
.\data\test\stack_0079_3.png	2ds                      	0.2611
.\data\test\stack_0079_4.png	like                     	0.0860
.\data\test\stack_0079_5.png	4m62                     	0.0539
.\data\test\stack_0080_0.png	693                      	0.4956
.\data\test\stack_0080_1.png	1993                     	0.1688
.\data\test\stack_0080_2.png	emox                     	0.0219
.\data\test\stack_0080_3.png	612x                     	0.1161
.\data\test\stack_0080_4.png	bnst                     	0.2809
.\data\test\stack_0080_5.png	ose                      	0.0384
.\data\test\stack_0080_6.png	21                       	0.2309
.\data\test\stack_0080_7.png	30                       	0.3403
.\data\test\stack_0080_8.png	2d                       	0.8956
.\data\test\stack_0080_9.png	clip                     	0.0124
.\data\test\stack_0081_0.png	623                      	0.7337
.\data\test\stack_0081_1.png	emgab                    	0.0061
.\data\test\stack_0081_2.png	612k                     	0.5005
.\data\test\stack_0081_3.png	bnst                     	0.2525
.\data\test\stack_0081_4.png	356                      	0.0194
.\data\test\stack_0081_5.png	21                       	0.4142
.\data\test\stack_0081_6.png	80                       	0.2726
.\data\test\stack_0081_7.png	2ds                      	0.9124
.\data\test\stack_0082_0.png	623                      	0.6548
.\data\test\stack_0082_1.png	emoze                    	0.0625
.\data\test\stack_0082_2.png	bns                      	0.7184
.\data\test\stack_0082_3.png	golso                    	0.4549
.\data\test\stack_0082_4.png	2d                       	0.5475
.\data\test\stack_0082_5.png	gizk                     	0.4682
.\data\test\stack_0082_6.png	use                      	0.3787
.\data\test\stack_0083_0.png	623                      	0.9290
.\data\test\stack_0083_1.png	emox                     	0.0316
.\data\test\stack_0083_2.png	gizk                     	0.4745
.\data\test\stack_0083_3.png	bnst                     	0.3571
.\data\test\stack_0083_4.png	358                      	0.0303
.\data\test\stack_0083_5.png	21                       	0.4748
.\data\test\stack_0083_6.png	so                       	0.4000
.\data\test\stack_0083_7.png	2ds                      	0.9269
.\data\test\stack_0083_8.png	a                        	0.3269
